,restaurant,review_text
118,Hiệu Bánh Moka,"Mình và gia đình ăn ở Moka cũng phải hơn gần 2 chục năm, từ cái hồi mà cửa hàng nhỏ chỉ có 1 gian và chủ cửa hàng là 1 bà cụ nhìn hiền hậu và luôn đưa bánh nhận tiền bằng 2 tay. 

Mình nhớ cái hồi ấy còn bán su kem theo chiếc, đựng vào hộp giấy chứ ko bán theo cả hộp nhựa to như bây giờ. Và chiếc bánh su kem hồi ấy, mỗi lần cho vào miệng cắn 1 miếng là custard mát mát ở trong ùa ra, tràn vào khoang miệng những hương vị ngầy ngậy thơm thơm ngòn ngọt rất vừa vặn. Vỏ bánh thì mỏng tang, lại vẫn hơi giòn giòn chứ ko dai và dày và vô vị như bây giờ. 

Mình nhớ cái hồi ấy bánh rán vừng nhân đỗ xanh sao mà ráo dầu, ngon lành, tròn trịa, mỗi lần lắc lắc nó đều nghe thấy tiếng nhân bên trong. Thế mà bây giờ họ nỡ làm miếng bánh sũng dầu, có 1 vị truyền thống còn chưa làm xong, lại còn làm vị khoai tím. 

Moka được chuyển nhượng từ đã lâu, và nếu mình là chủ cũ của nó thì mình sẽ thấy buồn lắm, vì những giá trị của Moka đã mất hết rồi :( Mọi thứ bây giờ thứ thì ngọt quá, thứ thì ko đậm vị, thứ thì toàn dầu, thứ thì ăn vào thấy bứ. Mình rất tiếc nhưng có lẽ mình sẽ ko bao giờ quay lại Moka nữa. Phải chi gặp lại được bà cụ năm nào :("
119,Hải Sản Nha Trang Bờ Kè,"Mình bị chú xích lô điện (0169.282.4515) gian xảo, lừa tiền xích lô mình và mami, trước đó còn lừa đến quán này. Quán này chủ yếu dụ Trung Quốc, mình lỡ vào nên ăn 1 thố nghêu hấp sả, 1 dĩa sò huyết xào me. Nghêu nhạt, nhỏ; sò huyết mặn, cũ, nước lềnh, cảm giác như bọn nó gom đồ thừa lại đem ra cho mình khi mình gọi ít món và hỏi giá. Ko dám ăn, bỏ hơn 1 nửa, giá bị chém là 336k. Trước đó định đi ốc đồng giá 20k ở số 02 Cửu Long mà bị ông xích lô dụ nói chỗ này ngon mà rẻ, lại gần biển. 
Tóm lại, ko ăn chỗ quán ốc này, và đừng đi chú xích lô điện số fone ở trên, báo giá chạy xlô 1 đường tính tiền 1 nẻo. 
Chúc cả nhà có chuyến đi Nha Trang thú vị :)"
120,Quán Nướng Chu - Phạm Ngũ Lão,Trải nghiệm lần đầu cùng gia đình vô cùng tệ. Yêu cầu đổi bàn thì nói oder rồi không chuyển được và có thái độ chửi sau lưng khách (sau khi quay sang thấy nói trong miệng MẸ).
121,Gà Rán KFC - Ba Mươi Tháng Tư,"Nên coi lại cung cách phục vụ khách hàng, ngta đặt hàng để lấy tiền đó trả cho mấy bạn nhân viên để phục vụ khách đó mấy bạn ơi, gà kfc thì ngon thật nhưng thái độ nhân viên gọi cho khách và không nhiệt tình với công việc, mình ở ngay chung cư b1- đối diện mega market mà còn k chịu giao, hèn j jolibee đang lấy hết khách, vừa rẻ vừa ngon🤣"
122,Domino's Pizza - Lê Hồng Phong,"Hẹn giao không đúng giờ, gọi 2 lần kêu check xem ship đi đến đâu r báo lại cho khách ko thấy báo. Cuối cùng 20p sau mới gọi hỏi lại địa chỉ rồi cầm đơn từ quán đi, mất đúng 1h mới đc nhận hàng mà cách có hơn 1km !!??"
123,SaSin - Mì Cay 7 Cấp Độ Hàn Quốc - Nguyễn Thị Thập,"Hôm nay mình đi ăn, kêu 1 phần mì hải sản cấp 1. Đợi 1 lúc thì đem ra tô mì VÔ CÙNG NHẠT, mình mới nhẹ nhàng nhờ phục vụ đem vào nêm lại. Lát sau trả lại cho mình 1 tô mì cũng không đậm đà hơn là bao và NGUỘI, không biết quán đã làm gì với tô mì của mình nữa. Hài thật! Tưởng như vào trong quán đổ thêm nước lạnh vào vậy đó. Thất vọng!!!!"
124,Gà Nướng Ò Ó O - Đường D5,"Lần trước order thì làm sai. Đặt 1 con gà thì giao có nửa con. Lần này đặt 2 phần đùi. Đúng kiểu đùi công nghiệp to như cái phích. Ăn vừa cứng vừa cháy vừa dở. Quá sức tệ hại và vô cùng thất vọng. Gà nguyên con như lần trước ăn còn đỡ. Mấy cái đùi như này mà mất tổng đơn 250k. Đúng là không ra gì. Ngoài ra, Bánh mì thì cứng như đá, quăng luôn chứ ko ăn, nước chấm hay muối chấm cũng ko có. Không bao giờ mua lại chỗ này lần nữa. Dở vô cùng tận. Chưa bao giờ bực như vậy. Đúng là chẳng ra gì."
125,Lotteria - Hậu Giang,"Khách đông mà nhân viên oder thì chỉ có 1, lúc oder thì nói đợi khoảng 20’ nhưng trả tiền xong nói 30’ nữa xuống lấy giùm vì ko có nhân viên, chưa bao giờ gặp lotteria nào mà tệ đến vậy. Nhân viên ko vui vẻ, đi ăn trả tiền mà như đi xin"
126,"LaLa Quán - Gà Rán, Kem & Đồ Uống Các Loại",Ơ sao mik tìm hình như quán này thành tôm càng xanh hay sao r í chẳng thấy đâu
127,Cháo Lòng Cao Thắng,làng này mình ỹ y không coi review trước khi mua. cháo gì đâu mà chua lét. nếu không chua dữ vậy mình còn tưởng hư rồi chứ. còn ruột thì đắng nghét. còn thêm một miếng tóc trong cháo nữa.
128,Ốc Quỳnh,Ốc đắt gấp 3 lần quán ốc bình thường. Ốc mỡ do bán ko hết nên để nhìu ngày. Ko còn tươi. Tôm tít thì chỏ có vỏ ko có ruột. Kêu 3 dĩa hết 300k mà ko ăn đc món nào.
129,Tâm Việt - Trà Sữa & Bánh Crepe,"Lần đầu order bánh sầu riêng và trà sữa của Tâm Việt sau khi thấy contact trên facebook. Gọi điện thoại tầm 2g mấy chiều, gọi điện thoại nhắc tới nhắc lui khoảng 3 lần thì đến 4g mấy gần 5g, sau khi mình dọa sắp tan ca không nhận nữa mới có bạn giao lại. Bánh sầu riêng mình hỏi có loại 15,18k gì nữa nhưng hết rồi nên chỉ đặt loại 12k. Đặt màu vàng với màu xanh thì màu xanh chỉ còn 1, toàn bộ còn màu tím. Dặn trà sữa chỉ để củ năng thì để đầy đủ. Bánh ăn hơi ít sầu riêng, vị cũng được, trà sữa khá ok. Chỉ có phục vụ quá tệ."
130,Trà Sữa Tocotoco - Tôn Đức Thắng,"Đồ uống nhạt nhẽo. chân châu cứng
Uống tạm"
131,Tây Hồ Quán - Bún Chả Hà Nội,"Đặt 2 cây nem nhưng chỉ có 1 cây là sao????
Thịt với nước thì ngon. Tôi đặt 2 cây nem 18k nhưng chỉ bỏ 1 cây?"
132,Highlands Coffee - Handico,"Socola ở đây dở thiệt sự, cảm tưởng như đang uống sữa đặc mix tí hương vị socola và nhạt không tả nổi"
133,Gà rán và Mì Ý - Jollibee - Tiểu La,"Bao rác trước cửa hàng mất vệ sinh quá
Quản lý cửa hàng đôi co với khách, lớn tiếng với khách, công ty xem xét lại thái độ của cửa hàng trưởng. Ăn nói vô lễ với mấy chú bảo vệ. Chèn ép nhân viên, giữa trưa nắng bắt nhân viên đứng giữa trời nắng phát tờ rơi.Tôi thấy quản lý như vậy là không được. Tôi mong công ty xem xét lại cách quản lý và nhân cách của người quản lý này"
134,Súp Cua Hạnh,"Súp cua ở đây có phải là của súp cua Hạnh ko vậy, ko ngon, miễng cua nhiều hơn thịt cua, ăn phải lừa ra, ko bao giờ ghé mua lần 2."
135,Cháo Vịt Thông Tin,"Ghé ăn thử cho biết...
🔸Không gian rộng rãi, thoáng mát. Ngồi ăn khá thoải mái. 
🔹Mình gọi 1 cháo và 1 cái đùi vịt luộc. Cảm nhận cháo ăn cũng tạm ổn, mà lạt quá! Không đậm đà. Còn thịt vịt thì ôi thôi. Tệ quá tệ. Vịt lạnh ngắt, cứng. Thịt thì ít mà xương thì nhiều, mắm chấm, gừng ớt ít, lỏng lẹt. 
🔸2 món đơn giản, ngốn hết 80k. Mắc dã man! Cảm thấy phí tiền.
🔹Cung cách phục vụ cực khó chịu (bà thím phục vụ). Lần sau không dám ghé đến quán này nữa!"
136,Bò Né Mỹ Cảnh - Hoàng Văn Thụ,"Nghe các bạn review tưởng hấp dẫn lắm. Mặc dù ở Nha Trang 5 năm nhưng chưa qua cái quán này bao giờ. Thấy đăng menu giá chat nghĩ bụng chắc đồ ăn ngon lắm. Mình tới ăn thì không gian chật vô cùng, ghế dí sát nhau với bàn. Gọi đồ ăn thì 3 món em nhân viên quên luôn 1 món. Ờ thì cũng khỏi thanh toán. Món ăn thì bỏ ra số tiền 120 ngàn ăn cơm bò thì có vẻ hơi điên. Quán không nằm ở phố tây nhưng đúng là giá của phố tây. Bò nướng phô mai thì bò thì mặn, khô. Mình khuyên các bạn review có tâm tí, quá thất vọng."
137,Tường - Pate & Beefsteak,"Vô trước 1 gia đình 4 người và 2 ng khác , chờ gần 20 phút vẫn chưa có món, chỉ được mỗi ly nước cam, đã vậy khi hỏi lại nv thì bưng ra không đúng món, chân thành khuyên can không nên tới ăn khi đang vui vẻ 😊"
138,Sugoi - Hot Pot - Sư Vạn Hạnh,"Mình xin phép review về bữa đi ăn tại đấy #SUGOI 
Vào tầm 25 phút mình vẫn chưa có set đầu liền gọi 1 bạn pv đến nói là c vào gần nửa tiếng r mà vẫn chưa có set cho c. Bạn nói mình ord lại r mang ra cho mình cũng ok và tiếp tục ngồi đợi thêm 15 phút nữa vẫn chưa thấy mang ra. Gọi thêm 1b pv nói knao có món cho c set đầu vẫn chưa có mà nảy giờ vô lâu lắm r bạn kêu dạ đợi e xíu vẫn là đợi.
Mình chạy lại a mặc đồ đen nghĩ chắc đây là quản lý hay gs***với lại a này mang nc lẩu ra cho mình chắc biết dc mình đã đến lâu r. Mình nói với a là e vẫn chưa có set đầu nha anh nảy h lâu lắm r anh hỏi số bàn và kêu mình đợi xíu mang ra. Và kqua là a áo đen mang ra 1 dĩa thịt để xuống bàn 1cái mạnh ko nói câu gì và bỏ đi ( ừ chắc mình tới đây mình xin ăn á ) 🙂🙂 ko bk ở đây nv bị gì.
Song mình thấy 1b mặc áo đỏ sugoi tại quầy thu ngân mình ra nói về vde này mình dùng hết dĩa thịt đó ( vài miếng ) bạn nói mình thông cảm tại khách đang đông . Thật sự mà nói tới lúc đó là đã thông cảm lắm rồi. Bạn đông cỡ nào ko cần bk mà ngồi cả 40-45 phút mới có 1 dĩa thịt thì là do nhà hàng của bạn. 
Mình hỏi cỡ bao lâu mình có món thì b nói 5phut. Mình quay về bàn a áo đen mang ra cho mình 
2tôm
1 vây cá hồi 
3khay mực mỗi khay 2bé
1 khay bạch tuột 1 bé 
Khay cá viên
Bánh bao nhân trứng vs há cảo 
2 dĩa thịt 
Và a đó nói kèm e mang đủ ra cho c 3l ord r nha còn thiếu 1 dĩa thịt e mang ra sau rồi quay đi. 
Bắp bò, gầu bò, ko thấy lên dc mấy miếng ba chỉ vs thịt heo mà mình ko ord heo thịt xay cũng ko có v mà còn dám đứng nói mang đủ > THUA
Tới lúc nc lẩu cạn mình có nhờ nv châm dùm bạn nào cũng gật đầu dạ nhưng lại ko châm cái nồi như là kho thịt. Tới lúc mình tắt bếp ko ăn dc nữa thì xách công lại châm 🙂🙂
300 mấy ko có lớn nhưng bỏ ra ở 1 nhà hàng như v thì ko đáng ko có cái gì giống như giới thiệu. 
Ko trách nv vì cơ bản cái bạn quản lý hay giám sát đó đã ko đủ kỹ năng của 1 người phục vụ. Tới cái khăn mà bàn mình còn ko có mà . 
Ko hiểu s nói ngồi bàn này mà lại tính tiền bàn khác. Vì ord giống nên mình ko để ý chứ số bàn là sai trên bill.
Hình ảnh mình sẽ đính kèm ở dưới."
139,Kin Kin - Thai Food,"Lâu rồi m mới ghé lại Kin kin nhg thất vọng. Có 1 mình ăn nên m gọi 2 món. Món tom yum thì ổn nhg món phở xào thì thật tệ. Nó nhão và nát, hơi mặn. M ko hiểu do bụng yếu hay gì mà bị đau bụng từ đêm đến sáng luôn. Mong quán lưu ý hơn để chất lượng món được như ngày trước."
140,Cơm Sườn Bum Bum,Đói dã họng ra phải cố nhai món sườn xào mỡ mỳ tôm này. Phải lấy cả ruốc của mình ra ăn cùng cơm
141,Mr Good Tea - Nguyễn Đình Chiểu,"Bad. Mình không thường xuyên uống ở Mr. Good Tea, nhưng hôm đấy, mình đợi người yêu của mình nên mình vào uống. Mình thấy thái độ phục vụ rất tốt, khoản này mình không nói gì thêm. Cái vấn đề ở đây là mình gọi một trà sữa truyền thống, thật tệ khi đem ra mình uống thử một ít, vị gắt của trà còn tận cuống họng, phải nói là kinh khủng, đến nỗi mình không dám uống tiếp ngụm tiếp theo, và mình còn hơn nửa ly (mình chưa từng uống ly trà sữa nào như vậy) mình đã đem quăng vào thùng rác, đó là lần hai và mình chắc chắn rằng sẽ không quay lại nữa."
